,"Step 2:
Order courses and sort.",,,,"Step 3:
Update the Start and End dates for each course and the Status.",,,,,,"Step 1:
Filter by these columns to remove ""Blanks"" from your degree.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Class Dates,,,,,,Business,,,,,,,,,,,Information Technology,,,,,,,,,,,,,,,,,,Nursing,,,,,,,,,,,,,,,,Teaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,41,40,41,40,40,41,11,11,11,10,10,38,37,37,37,35,34,39,36,34,34,37,34,36,34,42,9,11,10,40,23,36,36,16,17,15,15,14,33,33,32,12,8,8,,40,46,41,39,44,40,39,41,39,41,26,19,22,23,20,26,10,13,,,,11,13,12,10,14,18,14,13,14,12,13,8,,,
Transferable,Order,Course #,Course Name,Category,Start,End,CU,Final,Status,Degrees,BSBAAC,BSBAHC,BSBAHR,BSBAIT,BSBAMGC,BSBAMK,MBA,MBAITM,MBAHM,MSML,MACC,BSCC,BSCCMCL,BSCCAZR,BSCCAWS,BSCS,BSCSIA,BSDMDA,BSIT,BSITSW,BSITSWC,BSNES,BSNES_C,BSNOS,BSSD,MSITMUG,MSCSIA,MSDA,MSITM,BSRN,BSNU,BSHIM,BSHSC,MSNUFNP,MSNUPMHNP,MSNUED,MSNULM,MSNUNI,MSRNNUEDGR,MSRNNULMGR,MSRNNUNFGR,MHL,PMCNUED,PMCNULM,BAESELED,BAELED,BASPEE,BASPMM,BSMEMG,BSMES,BSSEMG,BSSESB,BSSESC,BSSESE,BSSESP,MATELED,MATEES,MATMEMG,MATMES,MATSES,MATSPED,MSCIN,MSEDL,MSLxDET,MSLxDETA,MSLxDETK12,MAELLP12,MEDID,MEDLT,MAMEK6,MAMEMG,MAMES,MASEMG,MASESB,MASESC,MASESE,MASESP,ENDELL,H1,H2,H3
FALSE,,AFT2,Accreditation Audit,Unknown,,,4,Unk,N/A,        MBAHM                                                                     ,,,,,,,,,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,17
FALSE,,AIT2,Organic Chemistry,Unknown,,,2,Unk,N/A,                                                                          MASESC   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,√,,,,2,,23
