WGU Course,WGU Course Name,External Course,Provider,Transfer Status
BYT1,Physics: Mechanics,PHYS102 (SAYA-0030),Saylor,No
BYT1,Physics: Mechanics,Physics 112 (SDCM-0102),Study,No
C100,Introduction to Humanities,Art 103 (SDCM-0167),Study,No
C100,Introduction to Humanities,Art 104 (SDCM-0168),Study,No
C100,Introduction to Humanities,ARTH101 (SAYA-0036),Saylor,No
C100,Introduction to Humanities,ARTHIST1001 (SOPH-0006),Sophia,No
C100,Introduction to Humanities,ARTHIST1002 (SOPH-0029),Sophia,No
C100,Introduction to Humanities,BUS 106 (OOSL-0014),Straighterline,No
C100,Introduction to Humanities,DLSI-0006 Ethics,DLSI,No
C100,Introduction to Humanities,DLSI-0009 Introduction to Humanities,DLSI,No
C100,Introduction to Humanities,DLSI-0011 Introduction to World Religions,DLSI,No
C100,Introduction to Humanities,DLSI-0019 American Literature,DLSI,No
C100,Introduction to Humanities,DLSI-0020 Introduction to Philosophy,DLSI,No
C100,Introduction to Humanities,DLSI-0027 Life and Teachings of Apostle Paul,DLSI,No
C100,Introduction to Humanities,English 101 (SDCM-0056),Study,No
C100,Introduction to Humanities,English 102 (SDCM-0087),Study,No
C100,Introduction to Humanities,English 103 (SDCM-0088),Study,No
C100,Introduction to Humanities,English 301 (SDCM-0237),Study,No
C100,Introduction to Humanities,English 310 (SDCM-0130),Study,No
C100,Introduction to Humanities,ENVS203 (SAYA-004),Saylor,No
C100,Introduction to Humanities,Humanities 101 (SDCM-0047),Study,No
C100,Introduction to Humanities,PHIL1001 (SOPH-0027),Sophia,No
C100,Introduction to Humanities,PHIL1002 (SOPH-0020),Sophia,No
C100,Introduction to Humanities,PHIL101 (OOSL-0060),Straighterline,No
C100,Introduction to Humanities,PHIL102 (SAYA-0045),Saylor,No
C100,Introduction to Humanities,PHIL103 (SAYA-0011),Saylor,No
C100,Introduction to Humanities,Philosophy 101 (SDCM-0132),Study,No
C100,Introduction to Humanities,Philosophy 102 (SDCM-0160),Study,No
C100,Introduction to Humanities,Philosophy 103 (SDCM-0161),Study,No
C100,Introduction to Humanities,POLSC201 (SAYA-0033),Saylor,No
C100,Introduction to Humanities,REL1001 (SOPH-0008),Sophia,No
C100,Introduction to Humanities,REL101 (OOSL-0066),Straighterline,No
C100,Introduction to Humanities,Religion 101 (SDCM-0046),Study,No
C100,Introduction to Humanities,Social Science 108 (SDCM-0185),Study,No
C100,Introduction to Humanities,VISCOMM1001 (SOPH-0009),Sophia,No
C100,Introduction to Humanities,Business 108 (SDCM-0051),Study,No
C100,Introduction to Humanities,Business 310 (SDCM-0118),Study,No
C100,Introduction to Humanities,Business 318 (SDCM-0142),Study,No
C100,Introduction to Humanities,Humanities 201 (SDCM-0243),Study,No
C107,Anatomy and Physiology I,BIO201 (OOSL-0028) and BIO201L (OOSL-0083),Straighterline,No
C107,Anatomy and Physiology I,BIOL1411,Concorde,No
C107,Anatomy and Physiology I,DLSI-0035 Anatomy and Physiology I & DLSI-0036 Anatomy and Physiology I Lab,DLSI,No
C107,Anatomy and Physiology I,Biology 201L (SDCM-0246),Study,No
C121,Survey of United States History,DLSI-0008 History of United States I: Early Colonization to 1877,DLSI,No
C121,Survey of United States History,HIST1001 (SOPH-0022),Sophia,No
C121,Survey of United States History,HIST1002 (SOPH-0025),Sophia,No
C121,Survey of United States History,USHIST101 (OOSL-0039),Straighterline,No
C121,Survey of United States History,USHIST102 (OOSL-0044),Straighterline,No
C121,Survey of United States History,History 103 (SDCM-0012),Study,No
C121,Survey of United States History,History 104 (SDCM-0039),Study,No
C121,Survey of United States History,History 105 (SDCM-0155),Study,No
C121,Survey of United States History,USHIST101,WGU Academy,No
C165,Integrated Physical Sciences,Astronomy 101 (SDCM-0189),Study,No
C165,Integrated Physical Sciences,BIO101 (OOSL-0017),Straighterline,No
C165,Integrated Physical Sciences,BIO101 (SAYA-0019),Saylor,No
C165,Integrated Physical Sciences,BIO101B (SAYA-0002),Saylor,No
C165,Integrated Physical Sciences,BIO101B (SAYA-0019),Saylor,No
C165,Integrated Physical Sciences,BIO201 (OOSL-0028) ,Straighterline,No
C165,Integrated Physical Sciences,BIO202 (OOSL-0030),Straighterline,No
C165,Integrated Physical Sciences,BIO250 (OOSL-0047),Straighterline,No
C165,Integrated Physical Sciences,Biology 201L (SDCM-0246),Study,No
C165,Integrated Physical Sciences,Biology 202L (SDCM-0247),Study,No
C165,Integrated Physical Sciences,CHEM1001 (SOPH-0056),Sophia,No
C165,Integrated Physical Sciences,CHEM101,WGU Academy,No
C165,Integrated Physical Sciences,CHEM101 (OOSL-0015),Straighterline,No
C165,Integrated Physical Sciences,CHEM101 (SAYA-0028),Saylor,No
C165,Integrated Physical Sciences,Chemistry 101 (SDCM-0028),Study,No
C165,Integrated Physical Sciences,Chemistry 111L (SDCM-0194),Study,No
C165,Integrated Physical Sciences,Chemistry 112L (SDCM-0195),Study,No
C165,Integrated Physical Sciences,DLSI-0002 Biology,DLSI,No
C165,Integrated Physical Sciences,DLSI-0013 Microbiology,DLSI,No
C165,Integrated Physical Sciences,DLSI-0028 Pathophysiology,DLSI,No
C165,Integrated Physical Sciences,DLSI-0035 Anatomy and Physiology I,DLSI,No
C165,Integrated Physical Sciences,DLSI-0037 Anatomy and Physiology II,DLSI,No
C165,Integrated Physical Sciences,Earth Science 101 (SDCM-0029),Study,No
